ID,Default_Status,Loan_amount,Interest,Maturity,Credit_scores,Length,Readability_1,Readability_2,Readability_3,Attitude,Work_Info,Income_Info,Explanation,Guarantee,Thanks,Request,Usage_1,Usage_2,Usage_3,Usage_4,Usage_5,Usage_6,Age,Is_Married,Income_Level,Car,House,Car_Loan,House_Loan
62,,20,13,6,131,53,7 ,0.13208 ,4.13332,0,0,0,0,0,1,0,0,0,0,0,1,0,48,0,3,1,1,0,0
63,,5,15,9,95,102,11 ,0.10784 ,14.666668,0.0333333,1,0,0,0,0,0,0,0,0,1,0,0,48,0,4,1,1,0,0
64,,0.8,15,6,61,62,6 ,0.09677 ,14.4,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,1,0,0,0,0
65,,5,15,12,95,150,16 ,0.10667 ,7.870108,0.0322581,1,0,0,0,0,0,0,0,0,0,1,0,48,0,4,0,1,0,0
66,,5,13,6,59,282,42 ,0.14894 ,18.130232,0.0174419,1,0,0,0,0,0,0,0,0,0,1,0,61,0,4,0,0,0,0
67,,20,15,12,110,61,7 ,0.11475 ,4.66668,-0.0285714,1,0,0,0,0,0,0,0,0,0,1,0,45,0,5,0,0,0,0
68,,25,15,12,155,86,7 ,0.08140 ,22.727272,0.0545455,1,0,0,0,1,0,0,0,0,0,1,0,42,0,2,0,1,0,0
69,,35,15,12,132,57,8 ,0.14035 ,5.809536,0.114286,1,0,0,1,0,1,0,0,0,0,1,0,29,0,4,1,1,0,0
70,,15,15,12,111,28,4 ,0.14286 ,5.666668,0.2,0,0,0,0,0,0,0,0,0,0,1,0,37,0,5,1,0,0,0
71,,20,15,12,110,101,15 ,0.14851 ,13.425,0.015625,1,0,0,0,0,0,0,0,0,0,1,0,41,0,5,1,1,0,0
72,,0.5,15,12,130,60,4 ,0.06667 ,6.666668,0.05,1,0,0,0,0,0,0,0,0,1,0,0,27,1,2,0,0,0,0
73,,10,15,18,160,88,7 ,0.07955 ,12.289656,0,1,0,0,0,0,1,0,0,0,0,1,0,45,0,4,1,1,0,0
74,,25,15,12,131,80,12 ,0.15000 ,6.277776,0,1,0,0,0,0,0,0,0,0,0,1,0,34,0,5,1,0,0,0
75,,15,15,12,110,57,10 ,0.17544 ,7.4,0.0810811,1,0,0,0,1,0,0,0,0,0,1,0,36,0,5,1,1,0,0
76,,2,15,12,111,51,5 ,0.09804 ,11.93846,0.0769231,1,0,0,0,1,1,0,0,0,0,1,0,43,1,5,1,0,1,0
77,,10,15,12,97,72,4 ,0.05556 ,5.6,0.047619,0,0,0,1,0,0,0,0,0,0,1,0,39,0,4,1,1,0,0
78,,3,15,12,96,98,12 ,0.12245 ,5.466668,0.0333333,1,0,0,1,0,1,0,0,0,0,1,0,46,0,2,0,0,0,0
79,,5,12,6,111,96,1 ,0.01042 ,11.31428,0,1,0,0,0,0,0,0,0,0,0,1,0,34,0,5,1,1,0,1
80,,5,15,12,93,53,5 ,0.09434 ,6,0,0,0,0,0,0,0,0,0,0,0,1,0,43,0,5,1,0,0,0
81,,5,15,12,96,86,10 ,0.11628 ,4.08,0.0980392,1,0,0,1,0,1,0,0,0,0,1,0,36,0,3,1,1,0,0
82,,30,15,12,111,108,10 ,0.09259 ,26.367212,0,1,0,0,0,0,0,0,0,0,0,1,0,65,0,3,1,0,0,0
83,,5,15,18,131,61,7 ,0.11475 ,6.22564,0.0769231,1,0,0,0,0,0,0,0,0,0,1,0,30,0,0,1,1,0,0
84,,10,15,12,110,54,7 ,0.12963 ,4.26668,0.09375,1,0,0,0,1,0,0,0,0,0,1,0,47,0,5,1,1,0,0
85,,1,10,3,97,44,0 ,0.00000 ,8.8,0.136364,0,0,0,1,1,0,1,0,0,0,0,0,32,1,3,1,0,0,0
86,,0.5,18,9,96,55,10 ,0.18182 ,3.2,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,2,0,1,0,1
87,,25,15,12,131,63,7 ,0.11111 ,7.6,0,1,0,0,0,0,0,0,0,0,0,1,0,39,0,4,1,0,0,0
88,,3,15,12,95,53,3 ,0.05660 ,3,0.133333,0,0,0,1,1,1,0,0,0,0,1,0,37,0,4,0,0,0,0
89,,10,15,12,39,74,7 ,0.09459 ,6.442288,0.0731707,1,0,0,1,0,1,0,0,0,0,1,0,38,0,5,1,1,1,0
90,,15,15,12,110,109,7 ,0.06422 ,26,0.0307692,1,0,0,0,0,0,0,0,0,0,1,0,42,0,5,1,1,0,0
91,,5,16,24,78,55,7 ,0.12727 ,7,0.1142856,0,0,0,1,1,0,0,0,0,1,0,0,35,0,3,1,1,1,1
92,,5,13,6,94,8,0 ,0.00000 ,1.6,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,4,1,0,0,0
93,,20,15,12,111,87,6 ,0.06897 ,11.354716,0,1,0,0,0,0,0,0,0,0,0,1,0,48,0,3,1,1,0,0
94,,0.8,15,6,65,164,16 ,0.09756 ,8.371064,0.0744681,1,0,0,0,0,0,0,0,0,0,1,0,35,1,3,1,0,0,0
95,,1.5,16,24,110,87,9 ,0.10345 ,6.93332,0.0576923,0,0,0,0,1,1,0,1,0,0,0,0,38,0,1,0,1,0,1
96,,8,15,12,110,107,16 ,0.14953 ,14.666668,0.0166667,1,0,0,0,0,0,0,0,0,0,1,0,32,0,2,1,1,0,1
97,,2,15,24,58,70,7 ,0.10000 ,8.6,0.0697674,1,0,0,0,1,1,0,0,0,0,1,0,27,1,3,0,0,0,0
98,,10,15,12,110,73,8 ,0.10959 ,4.4,0.0909091,0,0,0,0,1,0,0,0,0,0,1,0,44,0,3,1,1,0,1
99,,0.8,12,6,91,52,7 ,0.13462 ,6.2,0.0967742,1,0,0,1,1,0,0,0,1,0,0,0,30,1,1,0,0,0,0
100,,0.5,15,6,22,70,10 ,0.14286 ,5.86668,0.0454545,0,0,0,1,0,0,0,0,0,0,0,1,39,0,2,0,0,0,0
101,,0.5,15,12,96,110,3 ,0.02727 ,6.6,0.16,0,0,1,0,1,1,1,0,0,0,0,0,42,0,1,1,1,0,0
102,,10,15,24,67,18,1 ,0.05556 ,4.4,0.181818,0,0,0,0,0,0,0,0,0,0,0,1,31,1,3,0,0,0,0
103,,2,13,6,67,89,11 ,0.12360 ,5.7,0.0350877,1,0,1,1,1,0,0,1,0,0,0,0,38,0,1,1,1,0,0
104,,7,13,6,150,29,0 ,0.00000 ,5.6,0.0714286,0,0,0,0,0,0,0,0,0,0,1,0,37,0,5,1,0,0,0
105,,1,18,6,96,57,5 ,0.08772 ,6.6,0.151515,1,0,0,1,1,0,0,0,0,1,0,0,36,0,1,1,0,0,0
106,,0.3,12,3,96,87,7 ,0.08046 ,7.2,0.037037,0,0,0,0,0,0,0,0,0,0,0,1,30,0,2,0,0,0,0
107,,10,14,12,84,40,3 ,0.07500 ,5.4,0.037037,1,0,0,0,0,0,0,0,0,0,1,0,35,0,4,1,0,0,0
108,,5,13,6,110,30,2 ,0.06667 ,3.4,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,3,1,0,0,0
109,,10,13,3,111,171,20 ,0.11696 ,19.269564,0,1,0,0,0,0,0,0,0,0,1,0,0,40,0,4,1,1,0,0
110,,0.3,10,3,210,63,6 ,0.09524 ,5.1,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,1,1,1,0,0
111,,0.5,18,6,99,66,5 ,0.07576 ,5.33332,0.125,0,0,0,0,1,0,0,0,0,0,0,1,27,1,1,0,1,0,0
112,,8,14,12,150,60,3 ,0.05000 ,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,53,0,4,1,1,0,0
113,,8,14,12,84,16,2 ,0.12500 ,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,5,0,0,0,0
114,,0.3,15,12,98,64,13 ,0.20313 ,2.55,0.254902,0,0,0,0,0,0,1,0,0,0,0,0,36,0,2,1,1,0,0
115,,10,13,6,111,121,8 ,0.06612 ,7.388236,0.0294118,1,0,0,0,0,0,0,0,0,1,0,0,38,0,4,1,1,0,1
116,,3,15,9,67,52,1 ,0.01923 ,6,0,1,0,0,1,0,0,0,0,0,1,0,0,36,0,4,0,0,0,0
117,,4,15,12,53,52,5 ,0.09615 ,4.26668,0.03125,1,0,0,0,0,0,0,0,0,0,1,0,31,1,2,1,1,0,0
118,,1,13,9,95,53,5 ,0.09434 ,7.8,0.025641,0,0,1,0,0,0,1,0,0,0,0,0,34,0,3,1,0,0,0
119,,20,14,12,84,74,9 ,0.12162 ,8.6,0,1,0,0,0,0,0,0,0,0,0,1,0,44,0,5,0,1,0,0
120,,5,13,6,110,50,11 ,0.22000 ,1.2,0,1,0,0,0,0,0,0,0,0,0,1,0,43,0,4,0,0,0,0
121,,5,13,6,111,56,8 ,0.14286 ,4.66668,0.0571429,0,0,0,0,0,0,0,0,0,0,1,0,52,0,5,1,1,0,0
122,,1,16,12,120,87,16 ,0.18391 ,2.133332,0.166667,0,0,0,1,0,0,0,0,0,0,0,1,32,0,2,0,0,0,0
123,,30,14,12,87,51,6 ,0.11765 ,7.179312,0,1,0,0,0,0,0,0,0,0,0,1,0,46,0,4,0,1,0,0
